ExpectedAssetCashFlows_SAA;Jahr_1;Jahr_2;Jahr_3;Jahr_4;Jahr_5;Jahr_6
Liquidität;0;0;0;0;0;0
Obligationen CHF;0;0;0;0;0;0
Hypotheken;0;0;0;0;0;0
Obligationen FW;0;0;0;0;0;0
Obligationen FW (hedged);0;0;0;0;0;0
Aktien Schweiz;0;0;0;0;0;0
Aktien Welt ex-CH (developed);0;0;0;0;0;0
Aktien Welt ex-CH Minimum Volatility;0;0;0;0;0;0
Aktien Welt ex-CH High Dividend Yield;0;0;0;0;0;0
Aktien Emerging Markets;0;0;0;0;0;0
Aktien EmMa Minimum Volatility;0;0;0;0;0;0
Immobilien Schweiz (direkt/AST);0;0;0;0;0;0
Immobilien Welt (Funds, hedged);0;0;0;0;0;0
Private Equity;0;0;0;0;0;0
Infrastruktur;0;0;0;0;0;0
