SAA;Year_1;Year_2;Year_3;Year_4;Year_5;Year_6
P[f_t<=120%];0.786599;0.686308;0.633289;0.599758;0.574652;0.555859
P[f_t<=115%];0.564378;0.517349;0.492513;0.475504;0.463045;0.453512
P[f_t<=110%];0.318409;0.342018;0.348465;0.350221;0.350986;0.350858
P[f_t<=105%];0.134507;0.192683;0.219985;0.23647;0.247385;0.255203
P[f_t<=100%];0.041164;0.0901;0.121727;0.143723;0.159909;0.172207
P[f_t<=95%];0.008937;0.034218;0.057788;0.077323;0.093353;0.106788
P[f_t<=90%];0.001361;0.010242;0.023103;0.036176;0.048567;0.059799
P[f_t<=85%];0.000128;0.002311;0.007432;0.01441;0.022028;0.029577
P[f_t<=80%];8e-06;0.000378;0.001946;0.004869;0.008503;0.012923
